,repository_name,language
335,flexRAN-docker-image-dependencies,Makefile
336,FlexRAN-FEC-SDK-Modules,C++
337,flow-tool,C++
338,fMBT,Python
339,fml,
340,forGoParallel,Go
341,forGraphBLASGo,Go
342,forking-tuner,Python
343,forLAGraphGo,Go
344,FPGA-Academic-Program,
345,FPGA-Devcloud,C++
346,fpga-examples,
347,fpga-npu,SystemVerilog
348,fpga-partial-reconfig,SystemVerilog
349,fpga-runtime-for-opencl,C++
350,fpga-soft-processor-unit-test,Makefile
351,fpga-training,Jupyter Notebook
352,fpga_ip_lvds_video,Tcl
353,framework-ai-platform-edge-dgpu,
354,FSP,C
355,Galileo-Runtime,C
356,gardener-extension-cri-resmgr,Go
357,gazebo-realsense,C++
358,gazebo-sitl,C++
359,gbs,Python
360,gdb,C
361,generic-register-operation-optimizer,C++
362,generic-sensor-demos,HTML
363,ghe,C
364,git-refinery,
365,gits,C++
366,gmmlib,C++
367,gna,C++
368,go-runtime-optimizations,
369,goresctrl,Go
370,gpasdk-doc,HTML
371,GPGMM,C++
372,graph-compiler,C++
373,graph-compiler-playground,Python
374,graph-neural-networks-and-analytics,Python
375,GraphBLAS,C
376,graphbuilder,Java
377,GrapheneSGX-Golang-Support-and-Enhancement,C
378,grunt-mochaccino,JavaScript
379,grunt-zipup,JavaScript
380,gst-omx,C
381,gst-remote-offload,C
382,gstreamer-media-SDK,C
383,gstreamer-vaapi-xBay,
384,GVa,Vala
385,gvk,C++
386,gvt-linux,C
387,hal-intel,C
388,Halide,C++
389,handwritten-chinese-ocr-samples,Python
390,haxm,C
391,HBFA-FL,C
392,hdcp,C++
393,hdk,C++
394,he-toolkit,TeX
395,he-transformer,C++
396,helm-charts,Mustache
397,hetero-streams,C++
398,hexl,C++
399,hexl-fpga,C++
400,HFAV,Python
401,high-density-scalable-load-balancer,C
402,host-int,C
403,HPC-containers-from-Intel,
404,hpc-overhead,C++
405,hpc-speedometer,C++
406,HPCKit-code-samples,
407,hwc,C++
408,hyperscaler-features,Python
409,hyperscan,C++
410,IA-Hardware-Composer,C++
411,iaa-plugin-rocksdb,C++
412,iaevents,Go
413,ias,C
414,iasimage,Python
415,icamerasrc,
416,icpp_louvain,C++
417,ideep,C++
418,idlf,C++
419,idxd,HTML
420,idxd-config,C
421,idxd-driver,C
422,iefs-kernel-updates,C
423,igsc,C
424,Igvtg-kernel,C
425,Igvtg-qemu,C
426,Igvtg-xen,C
427,iio_testing_framework,C
428,ikgt-api,C
429,ikgt-core,C
430,ikgt-loader,C
431,ikgt-manifest,
432,ikgt-plugin,C
433,ikgt-uefi-loader,C
434,ikgt-usage,C
435,image-quality-and-characterization-utilities,C++
436,Immintrin-debug,C
437,imu_driver,C++
438,incubator-mynewt-core,C
439,inference-engine-node,JavaScript
440,inference-model-manager,Python
441,initsearchtool,Python
442,integrated-media-inference-framework,C++
443,Intel-affected-processor-list,
444,intel-ai-inference-samples,Python
445,Intel-AI-Skills,C#
446,intel-application-migration-tool-for-openacc-to-openmp,Python
447,intel-arduino-tools,Go
448,intel-arduino-updater,Java
449,intel-camera-drivers,C
450,intel-cloud-optimizations-aws,Python
451,intel-cloud-optimizations-azure,Python
452,intel-cloud-optimizations-gcp,Python
453,intel-cmt-cat,C
454,intel-cpu-frequency-library,C
455,intel-data-center-gpu-driver-for-openshift,Python
